date,avg_sentiment,sentiment_std,news_count,weighted_avg_sentiment,weighted_sentiment_std,avg_priority,max_priority,total_priority,drug_specific_count,company_news_count,fda_milestones,market_impacts,drug_news_ratio,has_application_phase,has_clinical_trials,has_regulatory_review,has_approval_process,has_post_approval,has_regulatory_issues,day_importance_score
2022-04-14,0.001623376623376622,0.0,1,0.002759740259740257,0.0,9.0,9,9,0,0,regulatory_issues,Other,0.0,0,0,0,0,0,1,21
2022-04-29,0.0,0.0,1,0.0,0.0,9.0,9,9,0,1,Other,Other,0.0,0,0,0,0,0,0,9
2022-05-04,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2022-05-19,0.07555714285714286,0.0,1,0.07555714285714286,0.0,7.0,7,7,0,0,Other,Other,0.0,0,0,0,0,0,0,7
2022-06-21,-0.2788436868686868,0.13168439649228683,6,-0.2788436868686868,0.13168439649228683,1.0,1,6,0,6,Other,Other,0.0,0,0,0,0,0,0,1
2022-06-22,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2022-06-23,-0.30469545454545455,0.0,2,-0.30469545454545455,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2022-06-29,-0.09324999999999999,0.294621842367466,3,-0.09324999999999999,0.294621842367466,1.0,1,3,0,3,Other,Other,0.0,0,0,0,0,0,0,1
2022-06-30,-0.28686666666666666,0.0,1,-0.28686666666666666,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-07-05,0.0303030303030303,0.026243194054073896,3,0.0303030303030303,0.026243194054073896,2.6666666666666665,6,8,0,3,Other,Other,0.0,0,0,0,0,0,0,6
2022-07-06,0.017045454545454544,0.024105912994995937,2,0.017045454545454544,0.024105912994995937,7.0,8,14,0,2,Other,Other,0.0,0,0,0,0,0,0,8
2022-07-07,-0.12894772727272724,0.2466420593996004,2,-0.23512022727272722,0.3967926488506578,5.0,9,10,0,1,regulatory_issues|Other,Other,0.0,0,0,0,0,0,1,21
2022-07-18,-0.1909,0.0,1,-0.1909,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-07-22,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-08-04,-0.24695,0.0,2,-0.24695,0.0,8.0,8,16,0,2,Other,Other,0.0,0,0,0,0,0,0,8
2022-08-05,0.06666666666666667,0.0,1,0.06666666666666667,0.0,8.0,8,8,0,1,Other,Other,0.0,0,0,0,0,0,0,8
2022-08-25,0.0,0.0,3,0.0,0.0,1.0,1,3,0,3,Other,Other,0.0,0,0,0,0,0,0,1
2022-09-01,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2022-09-02,-0.36755,0.0,1,-0.36755,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-09-06,0.0,0.0,3,0.0,0.0,1.0,1,3,0,3,Other,Other,0.0,0,0,0,0,0,0,1
2022-09-07,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-09-08,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-09-24,-0.148,0.0,1,-0.148,0.0,8.0,8,8,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2022-09-26,-0.148,0.0,2,-0.148,0.0,8.0,8,16,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2022-10-17,0.23810416666666667,0.1475391306380936,4,0.23810416666666667,0.1475391306380936,2.75,8,11,0,4,Other,Other,0.0,0,0,0,0,0,0,8
